slug,product_name,opp_category,opp_reduced_by,description,sessions_count,price_1x,price_3x,price_10x,price_1x_reduc,price_3x_reduc,price_10x_reduc
cours-instruments,Cours d'instruments hebdomadaire,cours-annee,,"Cours individuel (40 min) ou collectif (1h) — accordéon diatonique, mandole, mandoline, guitare, banjo, luth, derbouka, bendir, nay",,58500,19500,5850,,,
cafe-belsunce,Atelier Café Belsunce,cours-annee,,Atelier collectif Café Belsunce,,58500,19500,5850,,,
guinguette-marseille-2x,Guinguette Orchestra Marseille (2 ateliers par mois),cours-annee,cours-instruments;accordeon-aix;accordeon-aubagne,20 séances à l'année (mardi soir et samedi matin),20,50000,16666,5000,30000,10000,3000
guinguette-marseille-1x,Guinguette Orchestra Marseille (1 atelier par mois),cours-annee,cours-instruments;accordeon-aix;accordeon-aubagne,10 séances à l'année (mardi soir ou samedi matin),10,25000,8333,2500,15000,5000,1500
guinguette-aix,Guinguette Orchestra Aix-en-Provence (9 ateliers par an),cours-annee,cours-instruments;accordeon-aix;accordeon-aubagne,9 séances à l'année,9,22500,7500,2250,13500,4500,1350
accordeon-aix,Atelier d'accordéon diatonique Aix-en-Provence (3h),cours-annee,,"9 ateliers dans l'année — stages d'Aix-en-Provence à l'Ostau (Parc Jourdan) et au Patio (Jas de Bouffan) — tout niveau",9,31500,10500,3150,,,
accordeon-aubagne,Atelier d'accordéon diatonique Aubagne (3h),cours-annee,,10 ateliers dans l'année — stages d'Aubagne MDQ Pin-Vert — tout niveau,10,30000,10000,3000,,,
cours-particulier-1h,Cours particulier 1h (instrument),cours-unite,,Cours particulier d'1h — tout instrument,1,2500,,,,,
adhesion,Adhésion,adhesion,,Adhésion annuelle à l'OPP — prix libre (minimum 1 €),,,,,,,
don-opp,Don à l'OPP,don,,Don à l'association L'Oreille Presque Parfaite,,,,,,,
